No,Nomor KA,Relasi,RK,CTR,MJ,CKY,TGS,TEJ,DAR,CJT,PRP,CC,CSK,SRP,RU,SDM,JMU,PDJ,KBY,PLM,THB,Keterangan
165,1740,Thb-Rk,17:47,17:36,17:27,17:23,17:20,17:16,17:11,17:08,16:59,16:52,16:49,16:45,16:42,16:36,16:33,16:30,16:22,16:16,16:10,
166,1742,Thb-Prp,,,,,,,,,17:09,17:02,16:59,16:55,16:52,16:46,16:43,16:40,16:32,16:26,16:20,
167,1744,Thb-Rk,18:07,17:56,17:47,17:43,17:40,17:36,17:31,17:28,17:19,17:12,17:09,17:05,17:02,16:56,16:53,16:50,16:42,16:36,16:30,
168,1746,Thb-Tgs,,,,,17:49,17:45,17:40,17:37,17:28,17:21,17:18,17:14,17:11,17:05,17:02,16:59,16:51,16:45,16:39,
169,1748,Thb-Rk,18:27,18:16,18:07,18:03,18:00,17:56,17:51,17:48,17:39,17:32,17:29,17:25,17:22,17:16,17:13,17:10,17:02,16:56,16:50,
170,1750,Thb-Prp,,,,,,,,,17:49,17:42,17:39,17:35,17:32,17:26,17:23,17:20,17:12,17:06,17:00,
171,1752,Thb-Rk,18:47,18:36,18:27,18:23,18:20,18:16,18:11,18:08,17:59,17:52,17:49,17:45,17:42,17:36,17:33,17:30,17:22,17:16,17:10,
172,1754,Thb-Tgs,,,,,18:30,18:26,18:21,18:18,18:09,18:02,17:59,17:55,17:52,17:46,17:43,17:40,17:32,17:26,17:20,
173,1756,Thb-Rk,19:08,18:57,18:48,18:44,18:41,18:37,18:32,18:29,18:20,18:12,18:09,18:05,18:02,17:56,17:53,17:50,17:42,17:36,17:30,
174,1758,Thb-Prp,,,,,,,,,18:29,18:22,18:19,18:15,18:12,18:06,18:03,18:00,17:52,17:46,17:40,
175,1760,Thb-Rk,19:27,19:16,19:07,19:03,19:00,18:56,18:51,18:48,18:39,18:32,18:29,18:25,18:22,18:16,18:13,18:10,18:02,17:56,17:50,
176,1762,Thb-Tgs,,,,,19:09,19:05,19:00,18:57,18:48,18:41,18:38,18:34,18:31,18:25,18:22,18:19,18:11,18:05,17:59,
177,1764,Thb-Rk,19:47,19:36,19:27,19:23,19:20,19:16,19:11,19:08,18:59,18:52,18:49,18:45,18:42,18:36,18:33,18:30,18:22,18:16,18:10,
178,1766,Thb-Prp,,,,,,,,,19:09,19:02,18:59,18:55,18:52,18:46,18:43,18:40,18:32,18:26,18:20,
179,1768,Thb-Rk,20:06,19:55,19:46,19:42,19:39,19:35,19:30,19:27,19:18,19:11,19:08,19:04,19:01,18:55,18:52,18:49,18:41,18:35,18:29,
180,1770,Thb-Rk,20:25,20:14,20:05,20:01,19:58,19:54,19:49,19:45,19:36,19:29,19:26,19:22,19:19,19:13,19:10,19:07,18:59,18:53,18:47,
181,1772,Thb-Prp,,,,,,,,,19:49,19:42,19:39,19:35,19:32,19:26,19:23,19:20,19:12,19:06,19:00,
182,1774,Thb-Rk,20:47,20:36,20:27,20:23,20:20,20:16,20:11,20:08,19:59,19:52,19:49,19:45,19:42,19:36,19:33,19:30,19:22,19:16,19:10,
183,1776,Thb-Tgs,,,,,20:30,20:26,20:21,20:18,20:09,20:02,19:59,19:55,19:52,19:46,19:43,19:40,19:32,19:26,19:20,
184,1778,Thb-Rk,21:06,20:55,20:46,20:42,20:39,20:35,20:30,20:27,20:18,20:11,20:08,20:04,20:01,19:55,19:52,19:49,19:41,19:35,19:29,
185,1780,Thb-Tgs,,,,,20:50,20:46,20:41,20:38,20:29,20:22,20:19,20:15,20:12,20:06,20:03,20:00,19:52,19:46,19:40,
186,1782,Thb-Rk,21:27,21:15,21:06,21:02,20:59,20:55,20:50,20:47,20:38,20:31,20:28,20:24,20:21,20:15,20:12,20:09,20:01,19:55,19:49,
187,1784,Thb-Tgs,,,,,21:10,21:06,21:01,20:58,20:49,20:42,20:39,20:35,20:32,20:26,20:23,20:20,20:12,20:06,20:00,
188,1786,Thb-Rk,21:48,21:37,21:27,21:22,21:19,21:15,21:10,21:07,20:58,20:51,20:48,20:44,20:41,20:35,20:32,20:29,20:21,20:15,20:09,
189,1788,Thb-Prp,,,,,,,,,21:09,21:02,20:59,20:55,20:52,20:46,20:43,20:40,20:32,20:26,20:20,
190,1790,Thb-Rk,22:07,21:55,21:46,21:42,21:39,21:35,21:30,21:27,21:18,21:11,21:08,21:04,21:01,20:55,20:52,20:49,20:41,20:35,20:29,
191,1792,Thb-Rk,22:25,22:13,22:04,22:00,21:57,21:53,21:48,21:44,21:35,21:27,21:24,21:20,21:17,21:11,21:08,21:05,20:57,20:51,20:45,
192,1794,Thb-Rk,22:40,22:28,22:19,22:15,22:12,22:08,22:03,21:59,21:50,21:42,21:39,21:35,21:32,21:26,21:23,21:20,21:12,21:06,21:00,
193,1796,Thb-Prp,,,,,,,,,21:59,21:52,21:49,21:45,21:42,21:36,21:33,21:30,21:22,21:16,21:10,
194,1798,Thb-Rk,22:57,22:46,22:37,22:33,22:30,22:26,22:21,22:18,22:09,22:02,21:59,21:55,21:52,21:46,21:43,21:40,21:32,21:26,21:20,
195,1800,Thb-Srp,,,,,,,,,,,,22:05,22:02,21:56,21:53,21:50,21:42,21:36,21:30,
196,1802,Thb-Rk,23:23,23:11,23:02,22:58,22:55,22:51,22:46,22:43,22:34,22:27,22:24,22:20,22:17,22:11,22:08,22:05,21:57,21:51,21:45,
197,1804,Thb-Rk,23:37,23:26,23:17,23:13,23:10,23:06,23:01,22:58,22:49,22:42,22:39,22:35,22:32,22:26,22:23,22:20,22:12,22:06,22:00,
198,1806,Thb-Prp,,,,,,,,,23:04,22:57,22:54,22:50,22:47,22:41,22:38,22:35,22:27,22:21,22:15,
199,1810,Thb-Rk,00:17,00:06,23:57,23:53,23:50,23:46,23:41,23:38,23:29,23:22,23:19,23:15,23:12,23:06,23:03,23:00,22:52,22:46,22:40,
200,1814,Thb-Rk,00:32,00:21,00:12,00:08,00:05,00:01,23:56,23:53,23:44,23:37,23:34,23:30,23:27,23:21,23:18,23:15,23:07,23:01,22:55,
201,1816,Thb-Rk,00:57,00:46,00:37,00:33,00:30,00:26,00:21,00:18,00:09,00:02,23:59,23:55,23:52,23:46,23:43,23:40,23:32,23:26,23:20,
202,1820,Thb-Prp,,,,,,,,,00:40,00:32,00:29,00:25,00:22,00:16,00:13,00:10,00:02,23:56,23:50,
